Superdrug UK,12762,0424 FRAGRANCE,SDGB,27.03.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
100396,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,27,CALVIN KLEIN        ,CALVIN KLEIN OBSESSION MEN EDT 125ML,OBSESSION MEN EDT 125ML,CALVIN KLEIN,,TALKER_BEAUTY,125,£22.40 per 100ml,£54.40 per 100ml,per 100ml,000,FRAGRANCE,341074, ,000,Price Cut,1,,28,68,0,0,,BETTER THAN HALF PRICE,,,1,1,1,1,1,0,28,N,0,0,740,A (A Brand),**0424 FRAG SB COTY BTHP,Y,N,03-JAN-24,28-FEB-24,0,56,28-FEB-24,27-MAR-24,68,28,0,0,68,28,28,28,N,68,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
100396,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,27,CALVIN KLEIN        ,CALVIN KLEIN OBSESSION MEN EDT 125ML,OBSESSION MEN EDT 125ML,CALVIN KLEIN,,TALKER_FAMILY,125,£22.40 per 100ml,£54.40 per 100ml,per 100ml,000,FRAGRANCE,341074, ,000,Price Cut,1,,28,68,0,0,,BETTER THAN HALF PRICE,,,1,1,1,1,1,0,28,N,0,0,740,A (A Brand),**0424 FRAG SB COTY BTHP,Y,N,03-JAN-24,28-FEB-24,0,56,28-FEB-24,27-MAR-24,68,28,0,0,68,28,28,28,N,68,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
100396,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,27,CALVIN KLEIN        ,CALVIN KLEIN OBSESSION MEN EDT 125ML,OBSESSION MEN EDT 125ML,CALVIN KLEIN,,TALKER_LOCAL VALUE,125,£22.40 per 100ml,£54.40 per 100ml,per 100ml,000,FRAGRANCE,341074, ,000,Price Cut,1,,28,68,0,0,,BETTER THAN HALF PRICE,,,1,1,1,1,1,0,28,N,0,0,740,A (A Brand),**0424 FRAG SB COTY BTHP,Y,N,03-JAN-24,28-FEB-24,0,56,28-FEB-24,27-MAR-24,68,28,0,0,68,28,28,28,N,68,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
168963,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME TRESOR EDP 30ML,TRESOR EDP 30ML,LANCOME,,TALKER_BEAUTY,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,253,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
168963,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME TRESOR EDP 30ML,TRESOR EDP 30ML,LANCOME,,TALKER_FAMILY,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,253,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
168963,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME TRESOR EDP 30ML,TRESOR EDP 30ML,LANCOME,,TALKER_LOCAL VALUE,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,253,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
209456,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,185,NOA                 ,CACHAREL NOA 100ML,NOA 100ML,CACHAREL,,TALKER_BEAUTY,100,£32.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,673,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
209456,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,185,NOA                 ,CACHAREL NOA 100ML,NOA 100ML,CACHAREL,,TALKER_FAMILY,100,£32.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,673,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
209456,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,185,NOA                 ,CACHAREL NOA 100ML,NOA 100ML,CACHAREL,,TALKER_LOCAL VALUE,100,£32.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,673,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
228281,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,40,CALVIN KLEIN        ,CK EUPHORIA W 50ML EDP,EUPHORIA EDP 50ML,CALVIN KLEIN,,TALKER_BEAUTY,50,£92.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,46,0,0,0,,ONLY,,,1,1,1,1,1,0,46,N,0,0,715,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,46,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
