Superdrug UK,12765,0424 WEEK 13,SDGB,27.03.2024,02.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
436312,1400,86,SKIN - FACIAL,15,WIPES               ,136,B.,B. QUICK MICELLAR FACIAL WIPES X25,MICELLAR WATER FACIAL WIPES X25,B. QUICK,,TALKER_BEAUTY,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,1.49,0,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,1.49,N,0,0,26,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,,,0,,0,0,0,,0,,N,,Y,N,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
436312,1400,86,SKIN - FACIAL,15,WIPES               ,136,B.,B. QUICK MICELLAR FACIAL WIPES X25,MICELLAR WATER FACIAL WIPES X25,B. QUICK,,TALKER_FAMILY,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,1.49,0,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,1.49,N,0,0,26,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,,,0,,0,0,0,,0,,N,,Y,N,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
436312,1400,86,SKIN - FACIAL,15,WIPES               ,136,B.,B. QUICK MICELLAR FACIAL WIPES X25,MICELLAR WATER FACIAL WIPES X25,B. QUICK,,TALKER_LOCAL VALUE,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,1.49,0,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,1.49,N,0,0,26,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,,,0,,0,0,0,,0,,N,,Y,N,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
460800,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER COMBI/SENS 400ML,MICELLAR CLEANSING WATER COMBINATION & SENSITIVE 400ML,GARNIER,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342840, ,131,Enhance Promotion,1,3.99,7.99,7.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,7.99,N,0,0,765,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (3.99),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,7.99,119,0,0,7.99,119,0,,N,7.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
460800,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER COMBI/SENS 400ML,MICELLAR CLEANSING WATER COMBINATION & SENSITIVE 400ML,GARNIER,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342840, ,131,Enhance Promotion,1,3.99,7.99,7.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,7.99,N,0,0,765,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (3.99),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,7.99,119,0,0,7.99,119,0,,N,7.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
460800,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER COMBI/SENS 400ML,MICELLAR CLEANSING WATER COMBINATION & SENSITIVE 400ML,GARNIER,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342840, ,131,Enhance Promotion,1,3.99,7.99,7.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,7.99,N,0,0,765,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (3.99),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,7.99,119,0,0,7.99,119,0,,N,7.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
676702,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR OIL INF WATER 400ML,MICELLAR OIL-INFUSED WATER 400ML,GARNIER,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,762,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
676702,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR OIL INF WATER 400ML,MICELLAR OIL-INFUSED WATER 400ML,GARNIER,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,762,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
676702,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR OIL INF WATER 400ML,MICELLAR OIL-INFUSED WATER 400ML,GARNIER,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,762,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
756967,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER DELICATE 400ML,MICELLAR WATER 400ML,GARNIER,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,764,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
756967,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER DELICATE 400ML,MICELLAR WATER 400ML,GARNIER,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,764,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
756967,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER DELICATE 400ML,MICELLAR WATER 400ML,GARNIER,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,764,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
758450,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? BALI BREEZE BODY MIST 200ML,BALI BREEZE BODY MIST 200ML,SO?,,TALKER_BEAUTY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,766,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
