Superdrug UK,12775,0424 YEAR LONG PROMOS LOADED EACH EVENT (NO TAGS),SDGB,27.03.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
171389,1400,168,TRIAL & TRAVEL,29,SHAVING             ,2,GILLETTE SERIES     ,GILLETTE SHAVE GEL SENSITIVE 75ML,SERIES SHAVE GEL SENSITIVE 75ML,GILLETTE,,TALKER_BEAUTY,75,£1.42 per 100ml,£2.13 per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,1.6,1.6,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,1.6,N,0,0,42,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,04-MAY-22,31-DEC-99,0,,0,,1.6,,0,,,1.6,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
171389,1400,168,TRIAL & TRAVEL,29,SHAVING             ,2,GILLETTE SERIES     ,GILLETTE SHAVE GEL SENSITIVE 75ML,SERIES SHAVE GEL SENSITIVE 75ML,GILLETTE,,TALKER_FAMILY,75,£1.42 per 100ml,£2.13 per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,1.6,1.6,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,1.6,N,0,0,42,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,04-MAY-22,31-DEC-99,0,,0,,1.6,,0,,,1.6,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
171389,1400,168,TRIAL & TRAVEL,29,SHAVING             ,2,GILLETTE SERIES     ,GILLETTE SHAVE GEL SENSITIVE 75ML,SERIES SHAVE GEL SENSITIVE 75ML,GILLETTE,,TALKER_LOCAL VALUE,75,£1.42 per 100ml,£2.13 per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,1.6,1.6,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,1.6,N,0,0,42,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,04-MAY-22,31-DEC-99,0,,0,,1.6,,0,,,1.6,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201374,1400,168,TRIAL & TRAVEL,28,SHAMPOO             ,13,JOHN FRIEDA         ,JF LUXURIOUS VOL THICKENING SHAMPOO 50ML,LUXURIOUS VOLUME THICKENING SHAMPOO 50ML,JOHN FRIEDA,,TALKER_BEAUTY,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,28,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201374,1400,168,TRIAL & TRAVEL,28,SHAMPOO             ,13,JOHN FRIEDA         ,JF LUXURIOUS VOL THICKENING SHAMPOO 50ML,LUXURIOUS VOLUME THICKENING SHAMPOO 50ML,JOHN FRIEDA,,TALKER_FAMILY,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,28,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201374,1400,168,TRIAL & TRAVEL,28,SHAMPOO             ,13,JOHN FRIEDA         ,JF LUXURIOUS VOL THICKENING SHAMPOO 50ML,LUXURIOUS VOLUME THICKENING SHAMPOO 50ML,JOHN FRIEDA,,TALKER_LOCAL VALUE,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,28,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201377,1400,168,TRIAL & TRAVEL,8,DAILY CONDITIONER   ,10,JOHN FRIEDA         ,JF LUXURIOUS VOLUME THICKENING COND 50ML,LUXURIOUS VOLUME THICKENING CONDITIONER 50ML,JOHN FRIEDA,,TALKER_BEAUTY,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,72,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201377,1400,168,TRIAL & TRAVEL,8,DAILY CONDITIONER   ,10,JOHN FRIEDA         ,JF LUXURIOUS VOLUME THICKENING COND 50ML,LUXURIOUS VOLUME THICKENING CONDITIONER 50ML,JOHN FRIEDA,,TALKER_FAMILY,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,72,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201377,1400,168,TRIAL & TRAVEL,8,DAILY CONDITIONER   ,10,JOHN FRIEDA         ,JF LUXURIOUS VOLUME THICKENING COND 50ML,LUXURIOUS VOLUME THICKENING CONDITIONER 50ML,JOHN FRIEDA,,TALKER_LOCAL VALUE,50,40.0p per 100ml,60.0p per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,.3,.3,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,.3,N,0,0,72,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,06-DEC-23,31-DEC-99,0,,0,,.3,,0,,,.3,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201378,1300,168,TRIAL & TRAVEL,16,HAIR STYLING        ,10,JOHN FRIEDA,JF LUX VOL THICKENING BLOW DRY LOT 25ML,LUXURIOUS VOLUME THICKENING BLOW DRY LOTION 25ML,JOHN FRIEDA,,TALKER_BEAUTY,25,£5.33 per 100ml,£8.00 per 100ml,per 100ml,101,FHR AND SUMMER SHOP,340411,F,101,Buy A for B,3,1,2,2,0,0,, 3 FOR 2 MIX & MATCH,,,1,1,1,1,1,0,2,N,0,0,697,A (A Brand),0424 TRIAL & TRAVEL 3 FOR 2 MIX & MATCH,Y,,,,0,,25-MAR-20,31-DEC-99,0,,0,,2,,0,,,2,N,,,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
