Superdrug UK,12966,0424 AMENDS & ADDITIONS (NO TAGS),SDGB,27.03.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,MEDICINAL BLIP 2_BEAUTY,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,MEDICINAL BLIP 2_FAMILY,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,MEDICINAL BLIP 2_LOCAL VALUE,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,TALKER_BEAUTY,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,TALKER_FAMILY,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
189779,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT RUB 100G,RUB 100G,DEEP HEAT,,TALKER_LOCAL VALUE,100,£2.45 per 100g,£4.89 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,4.89,4.89,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,4.89,N,0,0,762,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,20-APR-22,31-DEC-99,0,,0,,4.89,,0,,,4.89,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
204450,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT MAX STRENGTH CREAM 35G.,MAX STRENGTH CREAM 35G,DEEP HEAT,,MEDICINAL BLIP 2_BEAUTY,35,£7.41 per 100g,£14.83 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,5.19,5.19,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,5.19,N,0,0,763,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,01-NOV-23,31-DEC-99,0,,0,,5.19,,0,,,5.19,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
204450,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT MAX STRENGTH CREAM 35G.,MAX STRENGTH CREAM 35G,DEEP HEAT,,MEDICINAL BLIP 2_FAMILY,35,£7.41 per 100g,£14.83 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,5.19,5.19,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,5.19,N,0,0,763,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,01-NOV-23,31-DEC-99,0,,0,,5.19,,0,,,5.19,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
204450,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT MAX STRENGTH CREAM 35G.,MAX STRENGTH CREAM 35G,DEEP HEAT,,MEDICINAL BLIP 2_LOCAL VALUE,35,£7.41 per 100g,£14.83 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,5.19,5.19,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,5.19,N,0,0,763,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,01-NOV-23,31-DEC-99,0,,0,,5.19,,0,,,5.19,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
204450,1100,216,PAIN RELIEF,8,TOPICAL & EXT. PAIN,8,DEEP HEAT           ,DEEP HEAT MAX STRENGTH CREAM 35G.,MAX STRENGTH CREAM 35G,DEEP HEAT,,TALKER_BEAUTY,35,£7.41 per 100g,£14.83 per 100g,per 100g,104,MEDICINES & VITAMINS,344195, ,104,Buy X save %,2,50,5.19,5.19,0,0,,BUY 1 GET 2ND 1/2 PRICE,,,1,1,1,1,1,0,5.19,N,0,0,763,A (A Brand),0424 DEEPS BOGSHP,Y,,,,0,,01-NOV-23,31-DEC-99,0,,0,,5.19,,0,,,5.19,N,,,Percentage off,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
