Superdrug UK,12989,0424 AMENDS & ADDITIONS (TAGS REQ),SDGB,27.03.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
203016,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,LOREAL MEN EXPERT APD FRESH EXTREME 250M,DEODORANT FRESH EXTREME 250ML,L'OREAL MEN EXPERT,,GONDOLA END 6_FAMILY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,755,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
203016,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,LOREAL MEN EXPERT APD FRESH EXTREME 250M,DEODORANT FRESH EXTREME 250ML,L'OREAL MEN EXPERT,,GONDOLA END 7_BEAUTY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,755,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
203016,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,LOREAL MEN EXPERT APD FRESH EXTREME 250M,DEODORANT FRESH EXTREME 250ML,L'OREAL MEN EXPERT,,TALKER_LOCAL VALUE,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,755,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
219893,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX STRAWBERRY LIP BALM TUBE 10G.,STRAWBERRY TUBE,CARMEX,,TALKER_BEAUTY,10,£2.32 per 10g,£3.49 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,762,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
219893,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX STRAWBERRY LIP BALM TUBE 10G.,STRAWBERRY TUBE,CARMEX,,TALKER_FAMILY,10,£2.32 per 10g,£3.49 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,762,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
219893,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX STRAWBERRY LIP BALM TUBE 10G.,STRAWBERRY TUBE,CARMEX,,TALKER_LOCAL VALUE,10,£2.32 per 10g,£3.49 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,762,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
276362,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE 200ML SPRAY,ONLY THE BRAVE 200ML SPRAY,DIESEL,,TALKER_BEAUTY,200,£25.00 per 100ml,£49.50 per 100ml,per 100ml,000,FRAGRANCE,344491, ,000,Price Cut,1,,50,99,0,0,,SAVE,,,1,1,1,1,1,0,50,N,0,0,736,A (A Brand),**0424 FRAG SB EL LOREAL SAVE RETRO DIESEL,Y,N,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,99,28,0,0,99,28,50,28,N,99,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
276362,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE 200ML SPRAY,ONLY THE BRAVE 200ML SPRAY,DIESEL,,TALKER_FAMILY,200,£25.00 per 100ml,£49.50 per 100ml,per 100ml,000,FRAGRANCE,344491, ,000,Price Cut,1,,50,99,0,0,,SAVE,,,1,1,1,1,1,0,50,N,0,0,736,A (A Brand),**0424 FRAG SB EL LOREAL SAVE RETRO DIESEL,Y,N,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,99,28,0,0,99,28,50,28,N,99,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
276362,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE 200ML SPRAY,ONLY THE BRAVE 200ML SPRAY,DIESEL,,TALKER_LOCAL VALUE,200,£25.00 per 100ml,£49.50 per 100ml,per 100ml,000,FRAGRANCE,344491, ,000,Price Cut,1,,50,99,0,0,,SAVE,,,1,1,1,1,1,0,50,N,0,0,736,A (A Brand),**0424 FRAG SB EL LOREAL SAVE RETRO DIESEL,Y,N,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,99,28,0,0,99,28,50,28,N,99,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
374351,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,MEN EXPERT C/P INTENSE ICE DEO 250ML,CARBON PROTECT INTENSE ICE DEODORANT 250ML,L'OREAL MEN EXPERT,,GONDOLA END 6_FAMILY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
374351,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,MEN EXPERT C/P INTENSE ICE DEO 250ML,CARBON PROTECT INTENSE ICE DEODORANT 250ML,L'OREAL MEN EXPERT,,GONDOLA END 7_BEAUTY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
374351,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,MEN EXPERT C/P INTENSE ICE DEO 250ML,CARBON PROTECT INTENSE ICE DEODORANT 250ML,L'OREAL MEN EXPERT,,TALKER_LOCAL VALUE,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,742,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
474550,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX ORIGINAL BLISTER POT 7.5G,ORIGINAL BLISTER POT 2G,CARMEX,,TALKER_BEAUTY,2,£116.00 per 100g,£174.50 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,756,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
474550,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX ORIGINAL BLISTER POT 7.5G,ORIGINAL BLISTER POT 2G,CARMEX,,TALKER_FAMILY,2,£116.00 per 100g,£174.50 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,756,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
474550,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX ORIGINAL BLISTER POT 7.5G,ORIGINAL BLISTER POT 2G,CARMEX,,TALKER_LOCAL VALUE,2,£116.00 per 100g,£174.50 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,756,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
516916,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX LIP BALM DUO TUBE, LIP BALM DUO TUBE,CARMEX,,TALKER_BEAUTY,20,£19.30 per 100g,£28.95 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,3.86,5.79,0,0,,SAVE 1/3,,,1,1,1,1,1,0,3.86,N,0,0,393,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,5.79,175,0,0,5.79,175,3.86,28,N,5.79,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
516916,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX LIP BALM DUO TUBE, LIP BALM DUO TUBE,CARMEX,,TALKER_FAMILY,20,£19.30 per 100g,£28.95 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,3.86,5.79,0,0,,SAVE 1/3,,,1,1,1,1,1,0,3.86,N,0,0,393,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,5.79,175,0,0,5.79,175,3.86,28,N,5.79,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
516916,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX LIP BALM DUO TUBE, LIP BALM DUO TUBE,CARMEX,,TALKER_LOCAL VALUE,20,£19.30 per 100g,£28.95 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,3.86,5.79,0,0,,SAVE 1/3,,,1,1,1,1,1,0,3.86,N,0,0,393,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,5.79,175,0,0,5.79,175,3.86,28,N,5.79,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
560350,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX PREMIUM POMEGANATE STICK,PREMIUM POMEGRANATE STICK 4.25G,CARMEX,,TALKER_BEAUTY,4.25,£6.56 per 10g,£9.86 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.79,4.19,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.79,N,0,0,413,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,4.19,175,0,0,4.19,175,2.79,28,N,4.19,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
560350,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX PREMIUM POMEGANATE STICK,PREMIUM POMEGRANATE STICK 4.25G,CARMEX,,TALKER_FAMILY,4.25,£6.56 per 10g,£9.86 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.79,4.19,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.79,N,0,0,413,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,4.19,175,0,0,4.19,175,2.79,28,N,4.19,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
560350,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX PREMIUM POMEGANATE STICK,PREMIUM POMEGRANATE STICK 4.25G,CARMEX,,TALKER_LOCAL VALUE,4.25,£6.56 per 10g,£9.86 per 10g,per 10g,000,SKINCARE,344315, ,000,Price Cut,1,,2.79,4.19,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.79,N,0,0,413,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,4.19,175,0,0,4.19,175,2.79,28,N,4.19,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
599611,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX CHERRY TUBE 10G,CHERRY TUBE 10G,CARMEX,,TALKER_BEAUTY,10,£23.20 per 100g,£34.90 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,763,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
599611,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX CHERRY TUBE 10G,CHERRY TUBE 10G,CARMEX,,TALKER_FAMILY,10,£23.20 per 100g,£34.90 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,763,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
599611,1100,86,SKIN - FACIAL,9,LIP BALM            ,9,CARMEX              ,CARMEX CHERRY TUBE 10G,CHERRY TUBE 10G,CARMEX,,TALKER_LOCAL VALUE,10,£23.20 per 100g,£34.90 per 100g,per 100g,000,SKINCARE,344315, ,000,Price Cut,1,,2.32,3.49,0,0,,SAVE 1/3,,,1,1,1,1,1,0,2.32,N,0,0,763,X (Exclusive Brand),0424 CARMEX SAVE 1/3,Y,N,06-SEP-23,04-OCT-23,0,28,04-OCT-23,27-MAR-24,3.49,175,0,0,3.49,175,2.32,28,N,3.49,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
648562,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,L¿OREAL MEN EXPERT SHIRT APD 250ML,SHIRT PROTECT INTENSE TONIC APD 250ML,L'OREAL MEN EXPERT,,GONDOLA END 6_FAMILY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,755,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
648562,1100,83,MALE TOILETRIES,1,MALE RANGE DEOS     ,105,LOREAL MEN EXP 250ML,L¿OREAL MEN EXPERT SHIRT APD 250ML,SHIRT PROTECT INTENSE TONIC APD 250ML,L'OREAL MEN EXPERT,,GONDOLA END 7_BEAUTY,250,£1.20 per 100ml, per 100ml,per 100ml,000,MENS & BRANDED GIFTS,344997, ,000,Price Cut,1,,2.99,0,0,0,,EVERYDAY LOW PRICE ON LOREAL MEN EXPERT,,,1,1,1,1,1,0,2.99,N,0,0,755,A (A Brand),0424 LOREAL MEN EXPERT EDLP,Y,Y,,,0,,,,0,,0,0,0,,2.99,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
